BUYER_STATE,month,total_pills,average_annual_population,pills_per_person_state_month
WI,04,102022109.2,5631273,18.11705971278608
WI,05,106939953,5631273,18.9903691403347
WI,06,109290551,5631273,19.407787724019062
WI,07,106524273,5631273,18.916552793657846
WI,08,112182137,5631273,19.92127481654681
WI,09,105831054,5631273,18.793451143285008
WI,10,110748181,5631273,19.666633281675388
WI,11,108573310,5631273,19.280420253111508
WI,12,115456870,5631273,20.50280105404231
WY,01,10052446,541516,18.563525362131497
WY,02,9543814,541516,17.6242511763272
WY,03,10729706,541516,19.81419939577039
WY,04,10040530,541516,18.54152047215595
WY,05,10454970,541516,19.306853352440186
WY,06,10664680,541516,19.694117994666826
WY,07,10636998,541516,19.642998544826007
WY,08,11055292,541516,20.41544848166998
WY,09,10499525,541516,19.389131623073002
WY,10,11031055,541516,20.37069080137983
WY,11,10731010,541516,19.816607450195377
WY,12,11203010,541516,20.688234511999646
